cid,text,time,author,channel,votes,replies,photo,heart,reply,time_parsed,paid
Ugw5R9SqBs8b32Tl_SV4AaABAg,"Dari pada bela palestine , mending bela Saudara kita ini",1 month ago,@st.oneman,UCUaEjQKLF45D9CQCKWY7pGw,0,,https://yt3.ggpht.com/zG71YOJrQkSmr5vAQoJAjcLKcyUGUrLxPRoqwaXo90iZUx90eSZYtCeQOdjQUfdqexkDSyv1=s88-c-k-c0x00ffffff-no-rj,False,False,1778999582.692034,
Ugycg5svcJriJVwzNM14AaABAg,"Tiati ada yg panas, kepanasan",1 month ago,@ttrakyatbiasa,UCMcdJnYpGKks7TsA1ICT9_A,0,,https://yt3.ggpht.com/ytc/AIdro_lbtZYZvbBhLI445NN9mDXjueP3jYizQ0FZUsSA4IeKSYn47X1K0MZDcYnmvTui8ADceM8=s88-c-k-c0x00ffffff-no-rj,False,False,1778999582.696341,
UgyKu99zbafPHgrdXGd4AaABAg,Penjajahan terhadap ibu pertiwi,1 month ago,@amarindranicol3127,UCJfKOUVxohAIh_T0qdFLF0A,0,,https://yt3.ggpht.com/ytc/AIdro_m_IhwQgz19QCymsuei-RueGCqQaL_7ZJZPuIZ3o7ExPQ=s88-c-k-c0x00ffffff-no-rj,False,False,1778999582.700167,
UgzaO3B_2V3C4MkxdOt4AaABAg,"kasihan banget sama orang yang di papua sana udah lah kekayaan alamnya di rampas ini tempat tinggal nya pun mau di ambil juga, orang papua tak pernah menikmati hasil alam mereka sendiri kekayaan sda mereka tak pernah mereka rasakan sedangkan orang yang hidupnya jauh dari tanah papua hidup di kota mereka lah yang menikmati hasil sdanya, RAKUSSS ANJ😢",1 month ago,@akbrniboss,UCXVcGrkKQfiFtOuIw2trE8w,0,,https://yt3.ggpht.com/zHPTqSu79QeiITX7nQ9_vwA5zyoGQKEBWPmfDWVmjrxUwPpxkBrqBgBfdJanPfGa78QyJoL3=s88-c-k-c0x00ffffff-no-rj,False,False,1778999582.703824,
Ugx3bsyIGahtXzRp1Np4AaABAg,Lawan lah sodaraku jgn smpai hutanmu jadi sawit,1 month ago,@SumarniSariyanto,UCXCtEjnwonN53dAjeQrMhwA,0,,https://yt3.ggpht.com/ytc/AIdro_mA5iYFWQWr-erQfOrpRSPi7uAL1ykOBKRSbPBDp88Z1xyBT7Je5IKp6_AckwgwsDEc-Q=s88-c-k-c0x00ffffff-no-rj,False,False,1778999582.707389,
UgxJqj4Vnn7i7J6GoHV4AaABAg,Pemerintah rakusss !!! Terkutuk kamu mati nanti susah !,1 month ago,@mariarumere3238,UCQfo_loGvRm0OBofGtT3cWA,0,,https://yt3.ggpht.com/ytc/AIdro_nJe7D-K0OeMZeTzn9zDZFZPst1TyPJ-2Do5HhEWOVUHnH6=s88-c-k-c0x00ffffff-no-rj,False,False,1778999582.710885,
UgwDsxGJX1mSIZfU3aB4AaABAg,memang prabowo harus hati2 sama amerika dan asing lainnnya kalo tidak akan dibuat2 model begini di mana2,1 month ago,@satyapras7667,UCEQfRnpY03LWJIr_jdGCU0Q,0,,https://yt3.ggpht.com/ytc/AIdro_kjZ5v2920LJhqpCcwYayNGptkyt1lL1potwne5wiI=s88-c-k-c0x00ffffff-no-rj,False,False,1778999582.714425,
UgwBkbL7iTi2zfYAJ0N4AaABAg,papua harus merdeka,1 month ago,@rosmitasari1372,UC0AMJTol_CoEaybxNDPMUbw,0,,https://yt3.ggpht.com/ytc/AIdro_kPgXiV8SqqPiH4N0zSWfvd4RExARz9WSi-2eeDvHg=s88-c-k-c0x00ffffff-no-rj,False,False,1778999582.717875,
UgyiG8r80wo45AmQ_qh4AaABAg,"Filmnya lebih horor dari hantu
Nangis 😭 parah kejam sekali",1 month ago,@evawulan9383,UClWwHNaozIDB1ruLalaoh-Q,0,,https://yt3.ggpht.com/ytc/AIdro_m2gSlRZ8pnKJyCcGdJLGFQ9gRQp0EvqSYZSulf8MYqwOgLgQf6khYraMqkL0JYWSFS6w=s88-c-k-c0x00ffffff-no-rj,False,False,1778999582.721361,
Ugz18OJ5MudITc_7TFl4AaABAg,Mmng bngsst pemerintah,1 month ago,@MuhammadRizki-hm5oe,UCMQTY-qLmk1Ongs4BrbvTtw,0,,https://yt3.ggpht.com/ytc/AIdro_lBQL_w1Se1yeY4jSMBSJqJGAEBAKJRp69GnI-GJUYOTYE=s88-c-k-c0x00ffffff-no-rj,False,False,1778999582.724736,
Ugx-qog1ltt9uSR-gXF4AaABAg,Sakit hati liat ini. Tapi kita bisa apa?,1 month ago,@phimen335-s6z,UCy74al_uKfqxO2Uwu1cNxTA,0,,https://yt3.ggpht.com/EIvDoQx8er0QOSwBI1MR0Js3fHrwaWhIeCYekE0qJYViL8EBH8xU-8CKT9w0WIXWSl5Z3dFG_OA=s88-c-k-c0x00ffffff-no-rj,False,False,1778999582.728169,
